Nº Judicial;Nº ALERJ;Apensos;Origem;Ação;Relator;Autor;Réu;Objeto;Mérito;Liminar;Recurso;Procurador;Estagiário;Andamento;Tipo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0050920-85.2014.8.19.0000;11379/2014;Não;TJRJ - OE;RI;DES. REINALDO PINTO ALBERTO FILHO;ASSOCIAÇÃO NACIONAL DOS RESTAURANTES;GOVERNADOR DO ESTADO E ALERJ;"Promovida em face da Lei Estadual nº 6.613/2013 ( '' DISPÕE SOBRE A CRIAÇÃO DO LIVRO DE RECLAMAÇÕES EM TODOS OS ESTABELECIMENTOS DE FORNECIMENTO DE BENS OU PRESTAÇÃO DE SERVIÇOS NO ESTADO DO RIO DE JANEIRO'') , que visa reforçar os procedimentos de defesa dos direitos dos consumidores, tornando obrigatória a existência e disponibilização do Livro de Reclamações em todos os estabelecimentos sujeitos ao CDC. O Representante utilizou os fundamentos jurídicos de vício de iniciativa (suposta ofensa ao art. 112, § 1º, da Constituição Estadual), afronta ao princípio da razoabilidade e do devido processo legal. Há, também, pedido liminar de suspensão da eficácia da lei.
Autor: Wagner Montes
( Junto aos processos Alerj 10727/2014 e Alerj 15090/2015)";"Órgão Especial, por maioria,julga procedente em parte a representação para declarar a inconstitucionalidade artigos 8º, caput e parágrafo único; 11, caput e incisos I e II; e 12 da Lei Estadual nº 6.613/2013, por violação dos preceitos inscritos nos artigos 7º; 112, § 1º, inc. II, alínea “d”; da Constituição do Estado do Rio de Janeiro e, por arrastamento, do inciso I do artigo 3º do Decreto n.º 44.810 de 26/05/2014, vencido Desembargador Nagib Slaib Filho que, preliminarmente, não conhecia do pedido por falta de pertinência temática e, no mérito, julgava improcedente o pedido.";Julgado no Mérito;ARE 1066810;Dr Sérgio Eduardo;Luma;14/08/2016 Remessa ao STF ;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 0008135-40.2016.8.19.0000;2771/2016;;TJRJ;RI;"DES. ANA MARIA PEREIRA DE OLIVEIRA
";"LUIZ PAULO CORRÊA DA ROCHA
";"EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO e outro
";"Em face dos art. 5º, inc. II, alínea b e d; art. 12;art. 23; art. 24 e art. 42 ambos da Lei Estadual 7.174, de 28 de dezembro de 2015. que versa sobre o Imposto sobre a Transmissão Causa Mortis e Doação de Quaisquer Bens ou Direitos (ITD), de competência do Estado do Rio de Janeiro.                      Autoria: PODER EXECUTIVO
";;;;;Luma;14/09/2016: Conclusão ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0011852-02.2012.8.19.0000;5945/ 2012 - Apenso ao 12551/2012;;TJRJ - OE;RI;"DES. NILDSON ARAUJO DA CRUZ
";"EXMO SR PROCURADOR GERAL DO ESTADO DO RIO DE JANEIRO
";"ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO / EXMO. SR. GOVERNADOR DO ESTADO DO RIO DE JANEIRO
";"Promovida em face da LEI 4948 DO ANO 2006 DO ESTADO DO RIO DE JANEIRO que dispõe sobre a opção de pagamento pelos servidores públicos estaduais, na forma que menciona.                      Autoria: Paulo Ramos
";;NÃO APRECIADA;RE / ARE 1.022.397 ;26/01/2017: Remessa STF;Marcelo;26/01/2017 - RECURSO - PROCESSAMENTO;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4419;12759/2010;;STF;ADI;MIN GILMAR MENDES;EXMO GOVERNADOR DO ESTADO DO RIO DE JANEIRO;ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;Promovida em face dos parágrafos 1° e 2°, do Art. 1°, da Lei Estadual nº 4744, de 11 de abril de 2006 que dispõe sobre vedações à formalização de contratos e convênios com órgãos e entidades da administração pública do estado do rio de janeiro e o cancelamento de concessões de serviço público a empresas que, direta ou indiretamente, utilizem trabalho escravo na produção de bens e serviços.;;;;;Marcelo;24/09/2012 - Petição: 49530 ;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4609;13972/2011;;STF;ADI;MIN BARROSO;CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL;ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;"Visa à suspensão da eficácia do parágrafo único do Art. 1º da emenda nº 27/2002 à Constituição do Estado do Rio de Janeiro. Tal emenda revoga os Art. 62 e 63 do ato das Disposições Constitucionais Transitórias da Constituição do Estado do Rio de Janeiro de 05/10/1989.
 
Autoria: Dep. Nilton Salomão.";;;;;Marcelo;"Pauta Nº 9/2012 publicada no DJE nº 55, divulgado em 15/03/2012.
Concluso ao Relator 07/07/2015";ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25168-53.2010.8.19.0000;14334/2010 (3 volumes);;TJRJ - OE;RI;;SIND JUSTIÇA - SINDICATO DOS SERVIDORES DO PODER JUDICIÁRIO;EXMO. SR. GOVERNADOR DO ESTADO DO RIO DE JANEIRO;"Promovida em face dos artigos 1° e 2° da Lei Complementar nº 96 de 4 de julho de 2001, que dispõe sobre os provimentos dos servidores do poder judiciário.
(AUTORIA: PODER EXECUTIVO)
";;;;AREsp 843613  ;Marcelo;"AREsp nº 862445 Não Reconhecido ( 11/03/2016) AREsp nº 843613 concluso para decisão
";FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4700;22431/2011;;STF;ADI;MIN GILMAR MENDES;GOVERNADOR DO ESTADO DO RIO DE JANEIRO;ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;Promovida em face do Art.101, caput, da Constituição do Estado do Rio de Janeiro de 1989.;;;;;Marcelo;13/04/2012 - Concluso ao Relator;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 0020630-87.2014.8.19.0000;5502/2014;;TJRJ - OE;RI;DES. CLAUDIO DE MELLO TAVARES;FEDERAÇÃO DAS INDUSTRIAS DO ESTADO DO RIO DE JANEIRO FIRJAN;PRESIDENTE DA ASSEMBLEIA LEGISLATIVA DO RJ - ALERJ;"Promovida em face da Lei Estadual  nº 6690/2014, que ""DISPÕE SOBRE A COMERCIALIZAÇÃO DE ÁGUA MINERAL EM VASILHAME RETORNÁVEL E/OU REAPROVEITAVEL.""
Autoria:INES PANDELO
";;;ARE 1007428;Dr. Sergio;Daniel;30/03/2017: Negado seguimento ARE ;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003310-97.2012.8.19.0063;8550/2014;;TJRJ - 2ª V.F.P;AÇÃO DE COBRANÇA;;LUIZ PAULO DO CARMO SILVA;ESTADO DO RIO DE JANEIRO, ALERJ E MUNICÍPIO DE TRÊS RIOS;"Trata-se de Ação de Obrigação de Fazer c/c Danos Morais, a fim de condenar os réus ao pagamento dos salários dos meses de Março a Novembro de 2009 (totalizando R$61200,00) além do respectivo depósito para a Previdência Social, vinculado ao PIS/NIT/PASEP.
EXCEÇÃO DE INCOMPETÊNCIA, em 16/10/2014, estando a mesma TEMPESTIVA, tendo em vista que apresentada dentro do prazo de Contestação, sendo que a mesma recebeu o número 0000907-53.2015.8.19.0063.
Tramitando na 13ª VFP, nº 0223121-80.2014.8.19.0001 (Carta Precatoria) 
 APENSO: 11863/2009.";;;;;Mariana;Extrair mandado Fazenda Novembro CX 03 ;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;8917/1998;;STF;ADI;MIN LUIZ FUX;PROCURADORIA GERAL DA REPÚBLICA ;ALERJ;"Promovida em face da Lei do Estado do Rio de Janeiro nº 2900, de 23/03/1998. A lei altera dispositivo da lei nº 2446 , de 12 de outubro de 1995, que cria o município de Seropédica, a ser desmembrado do município de Itaguaí.
Projeto de Lei nº: 1364/97 
Autoria: Paulo Melo
Relator: Min. Luiz Fuz
Pedido de medida cautelar deferido, para, até final julgamento da ação direta, suspender a execução e a aplicabilidade da lei.";;;;;Marcelo;16/12/2016 - Conclusos ao Relator;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.02.01.015550-8 ( 0015550-09.2001.4.02.0000 );7851/2001;;TRF 2ª REGIÃO;MS;;EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;PRESIDENTE DA ALERJ;Art. 32, caput e parágrafo único da Lei Orgânica do Município de Quatis, de 30/06/93;;;REsp 1603927;;Marcelo;"Em 12/05/2016 - 11:26
           Suspensão/sobrestamento - Autos digitalizados/STJ - Aguardando julgamento ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3413;3173/2005;_;STF;ADI; Min. Marco Aurélio;ASS.BRASILEIRA DA INDÚSTRIA DE MÁQUINAS E EQUIPAMENTOS ABIMAQ;ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;"Promovida em face da Lei nº 4.163, de 29 de setembro de 2003, que dispõe sobre a concessão de incentivos fiscais para a importação de equipamentos esportivos de caráter olímpico nos casos que especifica e dá outras providências. 
Autoria: Poder Executivo 
";;_;_;Denise Setsuko;Marcelo;Pauta:  29/06/2017 14:00;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4188;4135;_;STF;ADI;Min. Celso de Mello ;CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL;ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;"Trata-se de ação direta de inconstitucionalidade, com pedido cautelar, em face da Lei nº 5061, de 06/07/2007 que ""cria, na confecção de registro de ocorrências pelas delegacias de policia submetidas ao sistema delegacia legal, a obrigação de supressão de dados pessoais dos envolvidos, que permitam sua localização por pessoas estranhas aos quadros da Policia Civil, Ministério Publico e Poder Judiciário.
Projeto de Lei nº 93/2007  Autoria Pedro Paulo";;Rito abreviado - artigo 12 da Lei 9.868/99. ;_;Denise Setsuko;Marcelo;17/08/2015: Conclusos ao relator.  ;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5093;4773/2014;_;STF;ADI;Min. Celso de Mello ;GOVERNADOR DO ESTADO DE SÃO PAULO;ALERJ E OUTROS;"Trata-se de ação direta de inconstitucionalidade, com pedido de liminar, tendo por objeto os artigos 2° §§ 1°, 4°, 10 e 13; 3° inciso II; 4° 6° incisos I e II e §§ 1° 2° e 3°' e 9°, incisos I e II e parágrafo único, todos da Lei nº 6.331, de 10 de outubro de 2012, do Estado do Rio de Janeiro, que ""dispõe sobre aplicação de regime especial de tributação para estabelecimentos fabricantes de produtos têxteis, de confecções e aviamentos, nas condições que especifica"".
Projeto de Lei nº 1603/2012 Autoria Andre Correa, Rogerio Cabral, Sabino, Bernardo Rossi, Marcus Vinícius";;Rito abreviado - artigo 12 da Lei 9.868/99. ;_;;Marcelo;25/01/2017 - manifestação PGR;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5174;12552/2014;_;STF;ADI;Min. Gilmar Mendes;ASSOCIAÇÃO BRASILEIRA DAS DISTRIBUIDORAS DE GÁS  - ADEGÁS;ALERJ E GOVERNADOR RJ;"Trata-se de ação direta de inconstitucionalidade, com pedido de medida liminar, tendo por objeto a Lei n° 3.762, de 07 de janeiro de 2002, do Estado do Rio de Janeiro, que ""proíbe a inscrição de usuários de serviços públicos em cadastros de devedores""
Projeto de Lei nº 2760/2001  Autoria Carlos Dias
";;Rito abreviado - artigo 12 da Lei 9.868/99. ;_;Sergio Leal Carneiro;Mariana;"20/02/2017: Associação Brasileira das Concessionárias Privadas de 
Serviços Públicos de Água e Esgoto - ABCON, requer ingresso no feito na 
qualidade de amicus curiae (eDOC 20) - pedido deferido";ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0506972-32.2015.4.02.5101;3503/2016;;JFRJ;Cautelar de Protesto;;ARQUIDIOCESE DE SÃO SEBASTIÃO DO RIO DE JANEIRO;ESTADO DO RIO DE JANEIRO E OUTROS;Intima-se a ALERJ, naa pessoa de seu presidente, para ciência dos termos do presente PROTESTO INTERRUPTIVO DE PRAZO PRESCRICIONAL, conforme petição inicial e despacho cujas cópias seguem em anexo.;;;;;Acompanhamento Diário;Arquivado nesta secretaria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 0060948-44.2016.8.19.0000;15582/2016;;TJRJ -OE;RI;"DES. ELISABETE FILIZZOLA ASSUNÇÃO
";"EXMO SR PROCURADOR GERAL DO ESTADO DO RIO DE JANEIRO
";ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;"Com pedido de medida cautelar, promovida em face da Lei n°. 3.499/2000, com o propósito de conferir o art. 227, §3°, VI, da Constituição Federal e dos arts. 45 e 54, que formou o Programa Um Lar Para Mim, a ser executado por intermédio do Auxílio-Adoção.
";;;;;Priscila;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5514;8459/2016;;STF;ADI;MIN GILMAR MENDES;ASSOCIAÇÃO BRASILEIRA DE ADVOGADOS PÚBLICOS - ABRAP ;ASSEMBLEIA LEGISTLATIVA DO ESTADO DO RIO DE JANEIRO;"Promovida em face do Art. 007º, inc. III e nos Anexos I  e  II  da  Lei  Ordinária  Estadual  nº
6720, de 24 de março de 2014 do Estado do Rio de Janeiro.
     Lei n° 6720, de 24 de março de 2014
                                  Institui  o  Plano  de  Cargos,  Carreiras   e
                                  Remuneração da  Fundação  de  Apoio  a  Escola
                                  Tecnica do Estado do Rio de Janeiro – FAETEC e
                                  da outras providências.";;;;;Priscila;05/08/2016  - Vista AGU / 12/08/ Vista à PGR  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0134836-43.2016.8.19.0001;5668/2016;;8ª V.F.P - TJRJ;Ação de Procedimento Comum;;ASSOCIAÇÃO DOS SERVIDORES DA ASSEMBLÉIA LEGISLATIVA DO RJ  -  ASALERJ;ESTADO DO RJ - PROCURADORIA GERAL DO RJ / FUNDO ÚNICO DA PREVIDÊNCIA;"Dispõe sobre o pagamento dos proventos dos inativos, da remuneração dos servidores ativos dos orgãos e entidades da Administração Estadual Direta e Indireta e dos empregados das empresas publicas e sociedades de economia mista sob controle do Estado será creditado, a partir do mês de competência julho de 2010 nas seguintes datas: I- proventos dos inativos: primeiro dia util do mes subsequente ao mês de competência, II - remuneração dos servidores ativos : segundo dia do mês subsequente ao mes de competencia, III - salario dos empregados das empresas publicas e sociedades de enconomia mista: segundo dia util do mes subsequente ao mes de competencia. 
Procurador: Hariman Antonio Dias de Araujo.
Des. Luiz Fernando Ribeiro de Carvalho.";;;;;Priscila;02/08/2016: Certifico que a contestação de fls. 203/204 É TEMPESTIVO E FOI JUNTADA DECISÃO DE AGRAVO DE INSTRUMENTO FLS.288 / 290/0/2016: Certifico que a contestação de fls. 203/204 É TEMPESTIVO E FOI JUNTADA DECISÃO DE AGRAVO DE INSTRUMENTO FLS.288 e Oficio Nº 133/2016/OF   - ( Solicitação à estagiária Priscilla, para que as novas tramitações desse processo e inclua, se necessário, no processo Alerj.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;2028/1990;_;STF;ADI;Min. Rosa Weber;GOVERNADOR DO ERJ;ALERJ;Promovida em face dos Arts. 42 e 215 da Constituição do ERJ, que versam sobre Composição dos Conselhos de Administração e Fiscal das Empresas Públicas e sociedades  de economia mista  e Composição da direção executiva das empresas públicas, sociedades de economia mista e fundações.                                                                                                               O texto do Art. 215 foi renumerado para corresponder ao Art. 218. / Manifestação AGU pela improcedência. (Em 12/08/94 às fls. 68/74) Manifestação PGR pela procedência parcial do pedido para declarar a inconstitucionalidade do art. 42 e julgar prejudicado o pedido no que se refere ao art. 215. Sucessivamente, pela procedência. (Em 01/02/02 às fls. 77/79);"Procedente em parte por maioria (Inconstitucionalidade do art. 42 e das expressões ""empresas públicas, das sociedades de economia mista e"" do art. 218, ambos da CERJ. (Publicada em 08/03/10 às fls. 101) ";_;Embargos de Declaração (Governador ERJ) / Manifestação PGR pelo acolhimento dos embargos (Em 23/06/10 às fls. 161/165).;Denise Setsuko;Priscila;Concluso ao Relator  06/11/2014;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2831;1338/2003;_;STF;ADI;Min.Marco Aurélio;ASS. DOS MAGISTRADOS BRASILEIROS - AMB;Governador ERJ e ALERJ;"Artigo 002º, caput; artigo 082, incisos 00I, 00V,  alinea  ""d""  e
00X; artigo 086 e § único e o inciso 00V do artigo 091; artigo  163  e
§ único da Lei Complementar nº 106 de 03 de janeiro de 2003 do  Estado
do Rio de Janeiro.
";_;"                                                                       DEFERIDA por maioria: Art. 86 Caput, Paragrafo Único,  Art. 163 Caput, Parágrafo ùnico e Alínea D, Inciso V do art 82 e do Inciso V do Art.91 da Lei Complementar Nº 105 ERJ . Alínea D, Inciso V do art 82 e do Inciso V do Art.91
                                                                                  Ciência Sec. Mesa:
Revogação:
";_;Juliette Stohler;Priscila;Concluso ao Relator  03/05/2005;FÍSICO (faltam duas manifestações da PGR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0031206-71.2016.8.19.0000;9963/2016;;TJRJ;RI;;"EXMO SR PROCURADOR GERAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO
";"EXMO SR PRESIDENTE DA ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO / EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO
 / ";"Promovida em face da LEI 3280 DO ANO DE 1999 DO ESTADO DO RIO DE  que INSTITUI NO ÂMBITO DO ESTADO DO RIO DE JANEIRO O ESTUDO DOS LIVROS DA BÍBLIA, INTEGRANDO O ENSINO RELIGIOSO NAS ESCOLAS PÚBLICAS
AUTORIA: PAULO ALBERNAZ
";;;;;Priscila;28/03/2017: Conclusão o relator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
